CódigoDoCliente;NomeDaEmpresa;NomeDoContato;CargoDoContato;Endereço;Cidade;Região;CEP;País;Telefone;Fax;;World.Name
ALFKI;Alfreds Futterkiste;Maria Anders;Representante de Vendas;Obere Str. 57;Berlin;;12209;Alemanha;030-0074321;030-0076545;;DEU
BLAUS;Blauer See Delikatessen;Hanna Moos;Representante de Vendas;Forsterstr. 57;Mannheim;;68306;Alemanha;0621-08460;0621-08924;;DEU
WANDK;Die Wandernde Kuh;Rita Müller;Representante de Vendas;Adenauerallee 900;Stuttgart;;70563;Alemanha;0711-020361;0711-035428;;DEU
DRACD;Drachenblut Delikatessen;Sven Ottlieb;Administrador de Pedidos;Walserweg 21;Aachen;;52066;Alemanha;0241-039123;0241-059428;;DEU
FRANK;Frankenversand;Peter Franken;Gerente de Marketing;Berliner Platz 43;München;;80805;Alemanha;089-0877310;089-0877451;;DEU
KOENE;Königlich Essen;Philip Cramer;Assessor de Vendas;Maubelstr. 90;Brandenburg;;14776;Alemanha;0555-09876;;;DEU
LEHMS;Lehmanns Marktstand;Renate Messner;Representante de Vendas;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha;069-0245984;069-0245874;;DEU
MORGK;Morgenstern Gesundkost;Alexander Feuer;Assistente de Marketing;Heerstr. 22;Leipzig;;04179;Alemanha;0342-023176;;;DEU
OTTIK;Ottilies Käseladen;Henriette Pfalzheim;Proprietário;Mehrheimerstr. 369;Köln;;50739;Alemanha;0221-0644327;0221-0765721;;DEU
QUICK;QUICK-Stop;Horst Kloss;Gerente Financeiro;Taucherstraße 10;Cunewalde;;01307;Alemanha;0372-035188;;;DEU
TOMSP;Toms Spezialitäten;Karin Josephs;Gerente de Marketing;Luisenstr. 48;Münster;;44087;Alemanha;0251-031259;0251-035695;;DEU
CACTU;Cactus Comidas para llevar;Patricio Simpson;Agente de Vendas;Cerrito 333;Buenos Aires;;1010;Argentina;(1) 135-5555;(1) 135-4892;;ARG
OCEAN;Océano Atlántico Ltda.;Yvonne Moncada;Agente de Vendas;"Ing. Gustavo Moncada 8585
Piso 20-A";Buenos Aires;;1010;Argentina;(1) 135-5333;(1) 135-5535;;ARG
RANCH;Rancho grande;Sergio Gutiérrez;Representante de Vendas;Av. del Libertador 900;Buenos Aires;;1010;Argentina;(1) 123-5555;(1) 123-5556;;ARG
ERNSH;Ernst Handel;Roland Mendel;Gerente de Vendas;Kirchgasse 6;Graz;;8010;Áustria;7675-3425;7675-3426;;AUT
PICCO;Piccolo und mehr;Georg Pipps;Gerente de Vendas;Geislweg 14;Salzburg;;5020;Áustria;6562-9722;6562-9723;;AUT
MAISD;Maison Dewey;Catherine Dewey;Agente de Vendas;Rue Joseph-Bens 532;Bruxelles;;B-1180;Bélgica;(02) 201 24 67;(02) 201 24 68;;BEL
