NúmeroDoPedido;CódigoDoCliente;CódigoDoFuncionário;DataDoPedido;DataDeEntrega;DataDeEntrega;DataDeEnvio;Via;Frete;NomeDoDestinatário;EndereçoDoDestinatário;CidadeDeDestino;RegiãoDeDestino;CEPdeDestino;PaísDeDestino
10248;VINET;5;29/06/2016;27/07/2016;22/07/2036;11/07/2016;3;32,38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;França
10249;TOMSP;6;30/06/2016;11/08/2016;06/08/2036;05/07/2016;1;11,61;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemanha
10250;HANAR;4;03/07/2016;31/07/2016;26/07/2036;07/07/2016;2;65,83;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil
10251;VICTE;3;03/07/2016;31/07/2016;26/07/2036;10/07/2016;1;41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10252;SUPRD;4;04/07/2016;01/08/2016;27/07/2036;06/07/2016;2;51,30;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
10253;HANAR;3;05/07/2016;19/07/2016;14/07/2036;11/07/2016;2;58,17;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil
10254;CHOPS;5;06/07/2016;03/08/2016;29/07/2036;18/07/2016;2;22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suíça
10255;RICSU;9;07/07/2016;04/08/2016;30/07/2036;10/07/2016;3;148,33;Richter Supermarkt;Starenweg 5;Genève;;1204;Suíça
10256;WELLI;3;10/07/2016;07/08/2016;02/08/2036;12/07/2016;2;13,97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brasil
10257;HILAA;4;11/07/2016;08/08/2016;03/08/2036;17/07/2016;3;81,91;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10258;ERNSH;1;12/07/2016;09/08/2016;04/08/2036;18/07/2016;1;140,51;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
